n,algorithm,time_ms,char_comparisons,input_type
100,std::sort,0.090,3059,random
100,StringMergeSort,0.225,1148,random
100,StringQuickSort,0.141,570,random
100,MSD Radix,0.703,173,random
100,MSD Radix + QS,0.055,160,random
200,std::sort,0.633,7888,random
200,StringMergeSort,0.665,2784,random
200,StringQuickSort,0.082,1436,random
200,MSD Radix,1.167,399,random
200,MSD Radix + QS,0.094,418,random
300,std::sort,0.602,10675,random
300,StringMergeSort,0.605,4593,random
300,StringQuickSort,0.104,2227,random
300,MSD Radix,1.489,606,random
300,MSD Radix + QS,0.136,721,random
400,std::sort,0.475,15058,random
400,StringMergeSort,0.894,6614,random
400,StringQuickSort,0.156,3332,random
400,MSD Radix,1.733,816,random
400,MSD Radix + QS,0.175,1074,random
500,std::sort,0.704,20284,random
500,StringMergeSort,0.975,8685,random
500,StringQuickSort,0.247,4052,random
500,MSD Radix,1.784,1029,random
500,MSD Radix + QS,0.218,1462,random
600,std::sort,0.853,25868,random
600,StringMergeSort,1.122,10915,random
600,StringQuickSort,0.241,5022,random
600,MSD Radix,1.907,1255,random
600,MSD Radix + QS,0.285,1896,random
700,std::sort,0.861,30017,random
700,StringMergeSort,1.399,13181,random
700,StringQuickSort,0.308,6644,random
700,MSD Radix,2.087,1475,random
700,MSD Radix + QS,0.293,2387,random
800,std::sort,0.960,34547,random
800,StringMergeSort,1.450,15481,random
800,StringQuickSort,0.305,7035,random
800,MSD Radix,2.119,1695,random
800,MSD Radix + QS,0.323,2852,random
900,std::sort,1.149,41961,random
900,StringMergeSort,1.668,17897,random
900,StringQuickSort,0.345,8167,random
900,MSD Radix,2.324,1919,random
900,MSD Radix + QS,0.363,3354,random
1000,std::sort,1.203,41965,random
1000,StringMergeSort,1.852,20306,random
1000,StringQuickSort,0.383,9095,random
1000,MSD Radix,2.631,2149,random
1000,MSD Radix + QS,0.453,3868,random
1100,std::sort,1.373,48979,random
1100,StringMergeSort,2.058,22695,random
1100,StringQuickSort,0.456,10117,random
1100,MSD Radix,2.937,2373,random
1100,MSD Radix + QS,0.452,4452,random
1200,std::sort,1.528,52617,random
1200,StringMergeSort,2.307,25275,random
1200,StringQuickSort,0.498,11493,random
1200,MSD Radix,3.141,2610,random
1200,MSD Radix + QS,0.498,5123,random
1300,std::sort,1.674,57762,random
1300,StringMergeSort,2.545,27809,random
1300,StringQuickSort,0.541,12442,random
1300,MSD Radix,3.902,2855,random
1300,MSD Radix + QS,0.585,5640,random
1400,std::sort,3.563,60970,random
1400,StringMergeSort,3.012,30453,random
1400,StringQuickSort,0.787,13869,random
1400,MSD Radix,4.572,3098,random
1400,MSD Radix + QS,0.765,6255,random
1500,std::sort,2.078,66202,random
1500,StringMergeSort,3.072,33148,random
1500,StringQuickSort,0.668,15268,random
1500,MSD Radix,6.212,3354,random
1500,MSD Radix + QS,1.026,6895,random
1600,std::sort,3.030,72878,random
1600,StringMergeSort,4.793,35687,random
1600,StringQuickSort,0.860,16024,random
1600,MSD Radix,8.119,3599,random
1600,MSD Radix + QS,0.703,7501,random
1700,std::sort,2.570,77568,random
1700,StringMergeSort,3.548,38378,random
1700,StringQuickSort,0.802,18220,random
1700,MSD Radix,5.327,3845,random
1700,MSD Radix + QS,0.751,8060,random
1800,std::sort,2.954,83630,random
1800,StringMergeSort,4.468,41076,random
1800,StringQuickSort,0.809,18138,random
1800,MSD Radix,5.833,4083,random
1800,MSD Radix + QS,0.861,8686,random
1900,std::sort,2.671,81522,random
1900,StringMergeSort,4.222,43818,random
1900,StringQuickSort,0.869,19592,random
1900,MSD Radix,6.096,4355,random
1900,MSD Radix + QS,0.831,9394,random
2000,std::sort,2.881,93144,random
2000,StringMergeSort,4.200,46614,random
2000,StringQuickSort,0.899,20100,random
2000,MSD Radix,6.717,4611,random
2000,MSD Radix + QS,0.900,9980,random
2100,std::sort,3.127,97793,random
2100,StringMergeSort,5.034,49324,random
2100,StringQuickSort,1.102,21566,random
2100,MSD Radix,7.473,4855,random
2100,MSD Radix + QS,0.938,10788,random
2200,std::sort,3.068,99128,random
2200,StringMergeSort,4.997,52006,random
2200,StringQuickSort,1.056,23859,random
2200,MSD Radix,7.329,5111,random
2200,MSD Radix + QS,1.005,11381,random
2300,std::sort,3.198,103080,random
2300,StringMergeSort,5.243,54948,random
2300,StringQuickSort,1.125,24147,random
2300,MSD Radix,8.309,5364,random
2300,MSD Radix + QS,1.110,12090,random
2400,std::sort,3.474,108364,random
2400,StringMergeSort,5.299,57923,random
2400,StringQuickSort,1.128,25711,random
2400,MSD Radix,8.061,5620,random
2400,MSD Radix + QS,1.075,12849,random
2500,std::sort,3.475,113786,random
2500,StringMergeSort,6.176,60713,random
2500,StringQuickSort,1.923,27128,random
2500,MSD Radix,10.889,5871,random
2500,MSD Radix + QS,1.298,13649,random
2600,std::sort,4.431,121948,random
2600,StringMergeSort,5.623,63568,random
2600,StringQuickSort,2.590,28352,random
2600,MSD Radix,8.956,6144,random
2600,MSD Radix + QS,1.235,14222,random
2700,std::sort,3.959,125587,random
2700,StringMergeSort,5.896,66472,random
2700,StringQuickSort,1.281,28961,random
2700,MSD Radix,9.397,6400,random
2700,MSD Radix + QS,1.258,14844,random
2800,std::sort,3.934,127917,random
2800,StringMergeSort,6.059,69470,random
2800,StringQuickSort,1.393,31487,random
2800,MSD Radix,9.762,6663,random
2800,MSD Radix + QS,1.337,15654,random
2900,std::sort,4.172,140054,random
2900,StringMergeSort,6.419,72402,random
2900,StringQuickSort,1.400,32498,random
2900,MSD Radix,10.386,6935,random
2900,MSD Radix + QS,1.294,16382,random
3000,std::sort,4.409,142700,random
3000,StringMergeSort,6.605,75384,random
3000,StringQuickSort,1.427,33476,random
3000,MSD Radix,11.026,7211,random
3000,MSD Radix + QS,1.394,17032,random
100,std::sort,0.059,1051,reverse
100,StringMergeSort,0.210,1033,reverse
100,StringQuickSort,0.042,1078,reverse
100,MSD Radix,0.389,242,reverse
100,MSD Radix + QS,0.103,1692,reverse
200,std::sort,0.064,1865,reverse
200,StringMergeSort,0.277,2299,reverse
200,StringQuickSort,0.131,3038,reverse
200,MSD Radix,1.009,490,reverse
200,MSD Radix + QS,0.217,3415,reverse
300,std::sort,0.076,2258,reverse
300,StringMergeSort,0.474,3602,reverse
300,StringQuickSort,0.167,4199,reverse
300,MSD Radix,1.160,728,reverse
300,MSD Radix + QS,0.253,4989,reverse
400,std::sort,0.097,2392,reverse
400,StringMergeSort,0.586,5022,reverse
400,StringQuickSort,0.230,6037,reverse
400,MSD Radix,1.519,976,reverse
400,MSD Radix + QS,0.318,6635,reverse
500,std::sort,0.113,2990,reverse
500,StringMergeSort,0.728,6157,reverse
500,StringQuickSort,0.315,8650,reverse
